Name,TypeofKiller,Sex,Race,WhiteMale,WhiteMale20s,NumVics,country,state,County,City,US,birthyear,BirthDate,BirthPlace,Age1stKill,AgeLastKill,AgeGroup,MidtoLate20s,DateFirst,DateFinal,VictimCode,Code,Type,Height,Raised,FamEvent,AgeEvent,Rasied2,BirthRank,BirthCat,NumSibs,SchoolProb,Teased,Educ,Degree,IQ1,IQ2,VerbalIQ,PerfIQ,Military,Branch,Combat,Killed,AppliedCop,WorkedCop,Fired,Attrac,PhyDef,SpchDef,XYY,BrainAb,Chem,HeadInj,PoliceGroupie,BedWet,Animal,Fire,PsychAbuse,PhysAbuse,SexAbuse,ParMarSta,DadStable,MomStable,DadSA,MomSA,Killerabusealcohol,Killerabusedrugs,Married?,MaritalStatus,NumberofChildren,LivChild,LiveWith,SexualOrientation,Occupation,PreviousArrests,Previousjailorprisontime,AgeKill,AgeSeries,KilledPriortoSeries,KillMethod,KillwithHands,Weapon,Gun,Partner,MethodDescription,PartName,PartnerRelation,PartSex,VicSex,#Male,#Female,RaceofVictim,#White,#Black,#Hisp,#Asian,NatAm,VicAge,VicAgeAdult,ChildVictim,ActualAges,GetToCrime,LocAbduct,LocKilling,Rape,Torture,Soughtvictimtokill,Overkill,Quick,Blindfold,Bound,Mutilate,Totem,SexDeath,AteBody,DrankBlood,Posed,BodyTotem,ItemTotem,News,BodyLeft,LeftHidden,LeftBuried,Moved,MovedHide,MovedBuried,CutUp,TakenHome,DisorPoints,OrgDis,Mental,MentalFac,PsychologicalDiagnosis,DateArrested,KilledinmateorguardinPrison,WantAds,Confessed,NGRI,Sentence,Exec,DateDeath,Suicide,DeathMeth,SuspectedDeaths,ConfessedDeaths,ConvictedDeaths,YearsBetweenFirstandLast,YearFirst,YearFinal,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,Century,DecadeStarted,Otherinformation,Nickname,Organizational,FrequencyCategory
"Abbott,JackHenry#86A005",Serial-Twomurders,1,1,1,0,2,US,"UT,NY","SaltLake,NewYork","Draper,NYC-Manhattan",1,1944,1/21/1944,US-MI-Oscoda,21,37,20,0,1/18/1966,7/18/1981,8.5,4.13,Anger-LostControl,,6,,,3,,,,1,,5,None,,,,,0,,,,0,0,,,,,,,,,,,,,1,,,,,,,,,,0,1,0,,,1,Unemployed,1,1,21,21,0,4,1,,0,0,Stab,,,,1,2,0,,1,,0,0,,,1,0,22,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,,9/23/1981,1,0,0,0,2,0,2/10/2002,1,6,2,0,2,15,1966,1981,0,0,0,1,0,1,0,0,0,0,0,0,1900,1960,,,0,2
"Abel,Wolfgang",Serial-Team,1,1,1,0,28,Italy,"Padua,Veneto,Lombardy",,"Padua,Vicenza,Trento,Verona,Venice,Munich,Amsterdam",0,1959,1/3/1959,WestGermany-Dusseldorf,18,25,10,0,8/25/1977,1/8/1984,8.3,4.1,Anger-Missionary,,,,,0,,,,,,16,Bachelor's,,,,,0,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,0,1,0,,,,Office-Insurancecompanyemployee,0,0,18,18,0,"1,4,11",1,3,0,1,"Bludgeon,Stab,Fire","Abel,Wolfgang;Furlan,Mario",Friends-SinceChildhood,1,3,20,8,1,28,0,0,0,0,,1,1,"16,17,18,19,20,22,24,26,30,44,51,71",,,,0,0,1,1,0,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,1,1,,0,,3/3/1984,0,0,0,0,27yrs,0,,0,,28,0,5,7,1977,1984,0,0,0,1,1,0,0,0,0,0,0,0,1900,1970,Leftanoteoneachvictimexplainingwheytheywerekilled,,0,6+
"Abernathy,GeraldAnderson#0000203",Serial-Twomurders,1,1,1,0,2,US,"NC,MD","Montgomery,Mecklenburg","SilverSpring,Charlotte",1,1941,3/16/1941,,41,52,40,0,4/9/1982,6/23/1993,8.31,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,41,41,0,2,0,3,1,0,Shoot,,,,2,0,2,1,2,0,0,0,0,,1,0,"20,59",,,,1,0,0,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,,4/15/1982,0,0,1,0,2,0,"October,2007",0,4,2,1,1,11,1982,1993,0,0,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Ables,TonyA.",Serial,1,2,0,0,4,US,FL,Pinellas,St.Petersburg,1,1954,12/28/1954,,15,35,10,0,12/11/1970,6/4/1990,8.31,3.01,Enjoyment-Rape,67,3,,,0,,2,7,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Constructionworker,1,1,15,15,0,"1,2,5,8",1,3,,0,"Bludgeon,Shoot,Strangle,Smother",,,,3,1,3,1,4,0,0,0,0,8,1,0,"31,48,84",,,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,,,,1990,0,0,0,0,2,0,,,,4,0,3,20,1970,1990,0,0,1,1,1,0,0,0,0,0,0,0,1900,1970,,,0,4
"Abner,MichaelAndrew",Serial,1,1,1,0,3,US,KY,Pulaski,"Saline,Somerset,Eubank",1,1963,3/26/1963,US-NC-Onslow,20,46,20,0,10/12/1983,1/12/2010,7.31,1.11,FinancialGain-Robbery-HomeInvasion,67,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,20,20,0,"4,5",1,,0,0,"Stab,Strangle",,,,2,0,3,1,3,0,0,0,0,7,1,0,"79,80,87",,,,0,0,,0,,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,,0,,1/12/2010,0,0,1,0,2,0,,,,3,3,3,27,1983,2010,1,1,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,3
"Abuelazam,Elias#842658",Serial,1,1,1,0,5,US,"MI,VA,OH","Loudoun,Genesee","Flint,Leesburg",1,1976,8/29/1976,Israel-Ramla,32,33,30,0,3/26/2009,8/3/2010,8.32,4.12,Anger-Racial,77,2,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,4,0,,,1,Retailstoreclerk,0,0,32,32,0,4,1,,0,0,Stab,,,,1,5,0,2,0,5,0,0,0,,1,0,"31,43,44,49,60",,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,1,0,"ParanoidSchizophrenia(D),UnspecifiedPersonalityDisorder(P)",8/11/2010,0,0,,1,2,0,,2,,5,,1,1,2009,2010,1,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,5
"Acevedo,Ariel",Serial-Team,1,3,0,0,10,Uruguay,,,Montevideo,0,1965,,,45,47,40,0,2010,2012,4.1,3.31,Enjoyment-Power-AngelofDeath,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nurse,,,45,45,0,3,0,3,0,1,Poison,"Acevedo,Ariel;Pereira,Marcelo",,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,10,,,2,2010,2012,1,0,0,0,0,0,0,0,0,0,0,0,2000,2010,,,0,6+
"Acevedo,Elias",Serial-Twomurders,1,3,0,0,2,US,OH,Cuyahoga,Cleveland,1,1964,1/29/1964,,30,30,30,0,10/24/1994,1/11/1995,8.5,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,9,1,,1,,1,1,30,30,0,5,1,,0,0,Strangle,,,,2,0,2,1,2,0,0,0,0,,1,0,"18,30",,,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,,,1,,,6/11/2013,0,0,1,0,2,0,,,,2,2,2,1,1994,1995,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,2
"Acevedo,FranciscoA.#09A2356",Serial,1,3,0,0,3,US,NY,Westchester,Yonkers,1,1968,9/2/1968,,20,27,20,0,2/5/1989,5/24/1996,1.1,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,20,20,0,5,1,,0,0,Strangle,,,,2,0,3,7,,1,1,0,0,,1,0,"26,30,38",,,,1,0,,0,,,1,0,,0,0,0,0,0,,,,,,,,,,,0,,,,,2009,0,0,0,0,2,0,,,,3,0,3,7,1989,1996,0,0,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,3
"Acker,Maryann(Bray)",Serial-Team-Twomurders,2,1,0,0,2,US,"HI,CA",Honolulu,Honolulu,1,1959,,,18,18,10,0,6/19/1978,6/26/1978,11,1.1,FinancialGain-Robbery,,1,,,0,,,,,,12,Diploma,,,,,0,,,,0,0,,1,0,0,,,,,,,,,,,,1,1,1,,,,,1,2,0,,1,1,Accountsreceivableclerk,0,0,18,18,0,2,0,3,1,1,Shoot,"Acker,William;Acker,Maryann",Family-Spouse,1,1,2,0,,,,1,0,,,1,0,"20,20",,,,0,0,1,0,1,0,1,0,,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,,,,6/28/1978,0,0,1,0,2,0,,,,2,2,2,0,1978,1978,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,2
