Year,Month,Day,Temp
2010,1,1,47
2010,1,1,47
2010,1,1,47
2010,1,1,64
2010,1,1,70
2010,1,1,67
2010,1,1,56
2010,1,1,52
2010,1,2,50
2010,1,2,49
2010,1,2,50
2010,1,2,52
2010,1,2,58
2010,1,2,55
2010,1,2,51
2010,1,2,52
2010,1,3,52
2010,1,3,52
2010,1,3,53
2010,1,3,58
2010,1,3,58
2010,1,3,56
2010,1,3,52
2010,1,3,52
2010,1,4,52
2010,1,4,50
2010,1,4,51
2010,1,4,51
2010,1,4,56
2010,1,4,55
2010,1,4,54
2010,1,4,52
2010,1,5,51
2010,1,5,50
2010,1,5,51
2010,1,5,56
2010,1,5,62
2010,1,5,61
2010,1,5,51
2010,1,5,48
2010,1,6,47
2010,1,6,44
2010,1,6,44
2010,1,6,60
2010,1,6,65
2010,1,6,60
2010,1,6,53
2010,1,6,48
2010,1,7,48
2010,1,7,51
2010,1,7,51
2010,1,7,54
2010,1,7,64
2010,1,7,61
2010,1,7,52
2010,1,7,50
2010,1,8,50
2010,1,8,48
2010,1,8,48
2010,1,8,51
2010,1,8,55
2010,1,8,53
2010,1,8,53
2010,1,8,51
2010,1,9,51
2010,1,9,51
2010,1,9,51
2010,1,9,57
2010,1,9,64
2010,1,9,55
2010,1,9,51
2010,1,9,49
2010,1,10,48
2010,1,10,47
2010,1,10,47
2010,1,10,51
2010,1,10,53
2010,1,10,51
2010,1,10,48
2010,1,10,47
2010,1,11,46
2010,1,11,45
2010,1,11,45
2010,1,11,50
2010,1,11,58
2010,1,11,54
2010,1,11,48
2010,1,11,46
2010,1,12,45
2010,1,12,46
2010,1,12,46
2010,1,12,50
2010,1,12,59
2010,1,12,55
2010,1,12,51
2010,1,12,51
2010,1,13,50
2010,1,13,49
2010,1,13,49
2010,1,13,54
2010,1,13,61
2010,1,13,59
2010,1,13,53
2010,1,13,50
2010,1,14,50
2010,1,14,48
2010,1,14,49
2010,1,14,55
2010,1,14,61
2010,1,14,59
2010,1,14,54
2010,1,14,52
2010,1,15,49
2010,1,15,48
2010,1,15,48
2010,1,15,57
2010,1,15,60
2010,1,15,60
2010,1,15,53
2010,1,15,50
2010,1,16,49
2010,1,16,46
2010,1,16,46
2010,1,16,62
2010,1,16,69
2010,1,16,65
2010,1,16,49
2010,1,17,48
2010,1,17,49
2010,1,17,50
2010,1,17,52
2010,1,17,56
2010,1,17,56
2010,1,17,53
2010,1,17,52
2010,1,18,50
2010,1,18,49
2010,1,18,48
2010,1,18,55
2010,1,18,65
2010,1,18,62
2010,1,18,52
2010,1,18,49
2010,1,19,48
2010,1,19,49
2010,1,19,48
2010,1,19,58
2010,1,19,67
2010,1,19,63
2010,1,19,53
2010,1,19,50
2010,1,20,48
2010,1,20,47
2010,1,20,47
2010,1,20,51
2010,1,20,65
2010,1,20,61
2010,1,20,53
2010,1,20,50
2010,1,21,49
2010,1,21,47
2010,1,21,47
2010,1,21,55
2010,1,21,68
2010,1,21,63
2010,1,21,52
2010,1,21,48
2010,1,22,47
2010,1,22,49
2010,1,22,50
2010,1,22,54
2010,1,22,64
2010,1,22,63
2010,1,22,52
2010,1,22,48
2010,1,23,46
2010,1,23,48
2010,1,23,50
2010,1,23,64
2010,1,23,71
2010,1,23,66
2010,1,23,56
2010,1,23,52
2010,1,24,50
2010,1,24,47
2010,1,24,51
2010,1,24,64
2010,1,24,73
2010,1,24,69
2010,1,24,62
2010,1,24,59
2010,1,25,58
2010,1,25,54
2010,1,25,54
2010,1,25,68
2010,1,25,75
2010,1,25,71
2010,1,25,60
2010,1,25,56
2010,1,26,54
2010,1,26,51
2010,1,26,50
2010,1,26,60
2010,1,26,73
2010,1,26,68
2010,1,26,58
2010,1,26,54
2010,1,27,53
2010,1,27,51
2010,1,27,67
2010,1,27,74
2010,1,27,72
2010,1,27,62
2010,1,27,57
2010,1,28,55
2010,1,28,52
2010,1,28,53
2010,1,28,74
2010,1,28,80
2010,1,28,75
2010,1,28,63
2010,1,28,59
2010,1,29,57
2010,1,29,56
2010,1,29,54
2010,1,29,75
2010,1,29,82
2010,1,29,76
2010,1,29,62
2010,1,29,57
2010,1,30,55
2010,1,30,55
2010,1,30,57
2010,1,30,72
2010,1,30,71
2010,1,30,69
2010,1,30,60
2010,1,30,56
2010,1,31,53
2010,1,31,51
2010,1,31,50
2010,1,31,66
2010,1,31,73
2010,1,31,68
2010,1,31,54
2010,2,1,52
2010,2,1,47
2010,2,1,47
2010,2,1,71
2010,2,1,74
2010,2,1,69
2010,2,1,57
2010,2,1,53
2010,2,2,52
2010,2,2,48
2010,2,2,49
2010,2,2,69
2010,2,2,73
2010,2,2,70
2010,2,2,58
2010,2,2,54
2010,2,3,53
2010,2,3,49
2010,2,3,52
2010,2,3,68
2010,2,3,73
2010,2,3,70
2010,2,3,49
2010,2,3,53
2010,2,4,51
2010,2,4,50
2010,2,4,53
2010,2,4,70
2010,2,4,75
2010,2,4,72
2010,2,4,63
2010,2,4,59
2010,2,5,57
2010,2,5,54
2010,2,5,55
2010,2,5,72
2010,2,5,77
2010,2,5,73
2010,2,5,63
2010,2,5,60
2010,2,6,57
2010,2,6,56
2010,2,6,58
2010,2,6,73
2010,2,6,82
2010,2,6,80
2010,2,6,64
2010,2,6,59
2010,2,7,58
2010,2,7,56
2010,2,7,56
2010,2,7,79
2010,2,7,86
2010,2,7,78
2010,2,7,68
2010,2,7,66
2010,2,8,65
2010,2,8,63
2010,2,8,65
2010,2,8,75
2010,2,8,76
2010,2,8,73
2010,2,8,63
2010,2,8,62
2010,2,9,61
2010,2,9,60
2010,2,9,62
2010,2,9,64
2010,2,9,69
2010,2,9,70
2010,2,9,58
2010,2,9,56
2010,2,10,55
2010,2,10,59
2010,2,10,60
2010,2,10,69
2010,2,10,71
2010,2,10,67
2010,2,10,62
2010,2,10,59
2010,2,11,57
2010,2,11,54
2010,2,11,54
2010,2,11,67
2010,2,11,74
2010,2,11,71
2010,2,11,62
2010,2,11,56
2010,2,12,55
2010,2,12,54
2010,2,12,57
2010,2,12,70
2010,2,12,74
2010,2,12,71
2010,2,12,59
2010,2,12,58
2010,2,13,56
2010,2,13,54
2010,2,13,56
2010,2,13,69
2010,2,13,73
2010,2,13,72
2010,2,13,65
2010,2,13,62
2010,2,14,61
2010,2,14,53
2010,2,14,53
2010,2,14,67
2010,2,14,73
2010,2,14,70
2010,2,14,59
2010,2,14,55
2010,2,15,54
2010,2,15,52
2010,2,15,54
2010,2,15,67
2010,2,15,70
2010,2,15,67
2010,2,15,60
2010,2,15,56
2010,2,16,55
2010,2,16,52
2010,2,16,54
2010,2,16,74
2010,2,16,77
2010,2,16,74
2010,2,16,62
2010,2,16,57
2010,2,17,54
2010,2,17,54
2010,2,17,54
2010,2,17,63
2010,2,17,69
2010,2,17,68
2010,2,17,57
2010,2,17,53
2010,2,18,51
2010,2,18,51
2010,2,18,51
2010,2,18,69
2010,2,18,74
2010,2,18,54
2010,2,18,59
2010,2,18,54
2010,2,19,52
2010,2,19,49
2010,2,19,54
2010,2,19,70
2010,2,19,74
2010,2,19,72
2010,2,19,60
2010,2,19,55
2010,2,20,53
2010,2,20,51
2010,2,20,56
2010,2,20,71
2010,2,20,77
2010,2,20,75
2010,2,20,63
2010,2,20,58
2010,2,21,55
2010,2,21,54
2010,2,21,57
2010,2,21,75
2010,2,21,81
2010,2,21,79
2010,2,21,65
2010,2,21,60
2010,2,22,54
2010,2,22,57
2010,2,22,79
2010,2,22,80
2010,2,22,64
2010,2,22,69
2010,2,22,70
2010,2,23,63
2010,2,23,62
2010,2,23,62
2010,2,23,76
2010,2,23,81
2010,2,23,78
2010,2,23,70
2010,2,23,67
2010,2,24,65
2010,2,24,64
2010,2,24,64
2010,2,24,77
