Year,Month,Day,Temp
2010,1,1,42.8
2010,1,1,42.8
2010,1,1,42.8
2010,1,1,41.0
2010,1,1,41.0
2010,1,1,41.0
2010,1,1,41.0
2010,1,1,41.0
2010,1,1,42.8
2010,1,1,41.0
2010,1,1,39.2
2010,1,1,39.2
2010,1,1,37.4
2010,1,1,37.4
2010,1,1,41.0
2010,1,1,41.0
2010,1,1,44.6
2010,1,1,44.6
2010,1,1,48.2
2010,1,1,59.0
2010,1,1,60.8
2010,1,1,64.4
2010,1,1,66.2
2010,1,1,69.8
2010,1,1,69.8
2010,1,1,69.8
2010,1,1,71.6
2010,1,1,71.6
2010,1,1,71.6
2010,1,1,71.6
2010,1,1,69.8
2010,1,1,69.8
2010,1,1,68.0
2010,1,1,66.2
2010,1,1,62.6
2010,1,1,57.2
2010,1,1,55.4
2010,1,1,51.8
2010,1,1,51.8
2010,1,1,50.0
2010,1,1,50.0
2010,1,1,48.2
2010,1,1,46.4
2010,1,1,44.6
2010,1,1,44.6
2010,1,1,44.6
2010,1,1,44.6
2010,1,1,42.8
2010,1,2,42.8
2010,1,2,42.8
2010,1,2,41.0
2010,1,2,41.0
2010,1,2,41.0
2010,1,2,39.2
2010,1,2,39.2
2010,1,2,39.2
2010,1,2,39.2
2010,1,2,39.2
2010,1,2,39.2
2010,1,2,37.4
2010,1,2,35.6
2010,1,2,37.4
2010,1,2,35.6
2010,1,2,39.2
2010,1,2,41.0
2010,1,2,42.8
2010,1,2,42.8
2010,1,2,44.6
2010,1,2,46.4
2010,1,2,48.2
2010,1,2,51.8
2010,1,2,53.6
2010,1,2,57.2
2010,1,2,57.2
2010,1,2,59.0
2010,1,2,57.2
2010,1,2,57.2
2010,1,2,55.4
2010,1,2,53.6
2010,1,2,51.8
2010,1,2,51.8
2010,1,2,50.0
2010,1,2,50.0
2010,1,2,50.0
2010,1,2,50.0
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,2,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,50.0
2010,1,3,50.0
2010,1,3,50.0
2010,1,3,51.8
2010,1,3,53.6
2010,1,3,55.4
2010,1,3,60.8
2010,1,3,59.0
2010,1,3,59.0
2010,1,3,59.0
2010,1,3,59.0
2010,1,3,60.8
2010,1,3,62.6
2010,1,3,59.0
2010,1,3,57.2
2010,1,3,55.4
2010,1,3,53.6
2010,1,3,51.8
2010,1,3,51.8
2010,1,3,50.0
2010,1,3,50.0
2010,1,3,50.0
2010,1,3,50.0
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,48.2
2010,1,3,46.4
2010,1,4,44.6
2010,1,4,44.6
2010,1,4,42.8
2010,1,4,42.8
2010,1,4,41.0
2010,1,4,41.0
2010,1,4,41.0
2010,1,4,41.0
2010,1,4,41.0
2010,1,4,39.2
2010,1,4,39.2
2010,1,4,39.2
2010,1,4,37.4
2010,1,4,37.4
2010,1,4,37.4
2010,1,4,41.0
2010,1,4,44.6
2010,1,4,44.6
2010,1,4,46.4
2010,1,4,48.2
2010,1,4,53.6
2010,1,4,57.2
2010,1,4,59.0
2010,1,4,62.6
2010,1,4,64.4
2010,1,4,64.4
2010,1,4,66.2
2010,1,4,66.2
2010,1,4,66.2
2010,1,4,64.4
2010,1,4,62.6
2010,1,4,60.8
2010,1,4,60.8
2010,1,4,55.4
2010,1,4,57.2
2010,1,4,57.2
2010,1,4,57.2
2010,1,4,55.4
2010,1,4,55.4
2010,1,4,55.4
2010,1,4,55.4
2010,1,4,50.0
2010,1,4,48.2
2010,1,4,46.4
2010,1,4,44.6
2010,1,4,44.6
2010,1,5,44.6
2010,1,5,44.6
2010,1,5,42.8
2010,1,5,42.8
2010,1,5,41.0
2010,1,5,42.8
2010,1,5,41.0
2010,1,5,41.0
2010,1,5,41.0
2010,1,5,39.2
2010,1,5,39.2
2010,1,5,39.2
2010,1,5,39.2
2010,1,5,37.4
2010,1,5,41.0
2010,1,5,44.6
2010,1,5,44.6
2010,1,5,48.2
2010,1,5,50.0
2010,1,5,55.4
2010,1,5,57.2
2010,1,5,60.8
2010,1,5,62.6
2010,1,5,64.4
2010,1,5,64.4
2010,1,5,64.4
2010,1,5,64.4
2010,1,5,64.4
2010,1,5,62.6
2010,1,5,62.6
2010,1,5,60.8
2010,1,5,60.8
2010,1,5,59.0
2010,1,5,59.0
2010,1,5,57.2
2010,1,5,57.2
2010,1,5,55.4
2010,1,5,55.4
2010,1,5,53.6
2010,1,5,50.0
2010,1,5,50.0
2010,1,5,50.0
2010,1,5,48.2
2010,1,5,46.4
2010,1,5,46.4
2010,1,6,46.4
2010,1,6,44.6
2010,1,6,42.8
2010,1,6,42.8
2010,1,6,42.8
2010,1,6,41.0
2010,1,6,41.0
2010,1,6,41.0
2010,1,6,39.2
2010,1,6,39.2
2010,1,6,39.2
2010,1,6,39.2
2010,1,6,37.4
2010,1,6,37.4
2010,1,6,37.4
2010,1,6,39.2
2010,1,6,41.0
2010,1,6,41.0
2010,1,6,42.8
2010,1,6,44.6
2010,1,6,48.2
2010,1,6,50.0
2010,1,6,50.0
2010,1,6,50.0
2010,1,6,51.8
2010,1,6,51.8
2010,1,6,53.6
2010,1,6,53.6
2010,1,6,57.2
2010,1,6,57.2
2010,1,6,59.0
2010,1,6,55.4
2010,1,6,55
2010,1,6,55.4
2010,1,6,53.6
2010,1,6,51.8
2010,1,6,51.8
2010,1,6,50.0
2010,1,6,50.0
2010,1,6,50.0
2010,1,6,50.0
2010,1,6,48.2
2010,1,6,48.2
2010,1,6,48.2
2010,1,6,48.2
2010,1,6,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,44.6
2010,1,7,44.6
2010,1,7,44.6
2010,1,7,44.6
2010,1,7,44.6
2010,1,7,42.8
2010,1,7,41.0
2010,1,7,41.0
2010,1,7,39.2
2010,1,7,41.0
2010,1,7,41.0
2010,1,7,48.2
2010,1,7,48.2
2010,1,7,48.2
2010,1,7,48.2
2010,1,7,48.2
2010,1,7,50.0
2010,1,7,51.8
2010,1,7,51.8
2010,1,7,53.6
2010,1,7,55.4
2010,1,7,57.2
2010,1,7,59.0
2010,1,7,59.0
2010,1,7,57.2
2010,1,7,55.4
2010,1,7,55.4
2010,1,7,53.6
2010,1,7,53.6
2010,1,7,51.8
2010,1,7,51.8
2010,1,7,50.0
2010,1,7,50.0
2010,1,7,50.0
2010,1,7,50.0
2010,1,7,48.2
2010,1,7,48.2
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,7,46.4
2010,1,8,44.6
2010,1,8,44.6
2010,1,8,42.8
2010,1,8,42.8
2010,1,8,42.8
2010,1,8,41.0
2010,1,8,41.0
2010,1,8,39.2
2010,1,8,39.2
2010,1,8,37.4
2010,1,8,37.4
2010,1,8,37.4
2010,1,8,39.2
2010,1,8,41.0
2010,1,8,41.0
2010,1,8,42.8
2010,1,8,42.8
2010,1,8,44.6
2010,1,8,46.4
2010,1,8,51.8
2010,1,8,53.6
2010,1,8,55.4
2010,1,8,55.4
2010,1,8,57.2
2010,1,8,57.2
2010,1,8,57.2
2010,1,8,55.4
2010,1,8,55.4
2010,1,8,53.6
2010,1,8,53.6
2010,1,8,51.8
2010,1,8,50.0
2010,1,8,50.0
2010,1,8,50.0
2010,1,8,50.0
2010,1,8,50.0
2010,1,8,50.0
2010,1,8,48.2
2010,1,8,48.2
2010,1,8,48.2
2010,1,8,44.6
2010,1,8,44.6
2010,1,9,44.6
2010,1,9,44.6
2010,1,9,44.6
2010,1,9,44.6
2010,1,9,42.8
2010,1,9,42.8
2010,1,9,42.8
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,39.2
2010,1,9,39.2
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,41.0
2010,1,9,42.8
2010,1,9,44.6
2010,1,9,44.6
2010,1,9,46.4
2010,1,9,46.4
2010,1,9,48.2
2010,1,9,51.8
2010,1,9,53.6
2010,1,9,55.4
2010,1,9,55.4
2010,1,9,55.4
2010,1,9,55.4
2010,1,9,55.4
2010,1,9,55.4
2010,1,9,53.6
2010,1,9,53.6
2010,1,9,51.8
2010,1,9,51.8
2010,1,9,50.0
2010,1,9,48.2
2010,1,9,48.2
2010,1,9,48.2
2010,1,9,48.2
2010,1,9,48.2
2010,1,9,46.4
2010,1,9,46.4
2010,1,9,44.6
2010,1,9,44.6
2010,1,9,44.6
2010,1,10,44.6
2010,1,10,44.6
2010,1,10,44.6
2010,1,10,42.8
2010,1,10,42.8
2010,1,10,41.0
2010,1,10,39.2
2010,1,10,39.2
2010,1,10,39.2
2010,1,10,39.2
2010,1,10,37.4
2010,1,10,35.6
2010,1,10,35.6
2010,1,10,35.6
2010,1,10,37.4
2010,1,10,37.4
2010,1,10,39.2
2010,1,10,39.2
2010,1,10,41.0
2010,1,10,41.0
2010,1,10,42.8
2010,1,10,44.6
2010,1,10,46.4
2010,1,10,46.4
2010,1,10,48.2
2010,1,10,50.0
2010,1,10,51.8
